Home-ownership,Age,High school,College,Graduate,Gender,Risk perception,Disaster experience,Children,Trust in fed.,Trust in local,Party,Ideology,Race,Income,Disaster knowledge,Output
0,18,1,0,0,0,0,0,0,6,8,1,7,1,1,3,0
0,18,1,0,0,0,5,0,1,5,6,0,4,1,3,3,1
1,40,0,1,0,0,6,0,3,1,2,1,4,1,2,5,2
0,60,0,1,0,1,3,0,0,1,3,0,7,1,3,2,4
0,50,0,1,0,0,7,1,0,4,3,0,4,1,1,3,1
1,54,0,1,0,0,8,1,0,0,5,0,2,1,1,5,3
1,35,0,1,0,0,9,1,3,4,6,0,5,1,2,5,5
0,23,0,1,0,1,7,0,0,4,2,0,3,1,2,4,2
0,26,0,1,0,0,6,0,1,0,0,0,4,1,1,5,1
0,27,1,0,0,1,7,0,0,7,7,1,4,1,1,4,4
0,49,0,1,0,0,7,0,2,0,0,0,4,1,1,3,1
0,44,0,1,0,1,10,0,2,0,3,0,4,1,1,5,2
0,21,0,1,0,0,7,0,0,3,5,0,3,1,1,3,0
1,47,0,1,0,0,1,0,0,0,8,1,7,1,2,4,1
0,23,1,0,0,0,5,0,0,0,2,0,4,0,1,5,3
0,45,1,0,0,1,5,0,1,9,9,0,2,1,1,2,2
0,39,0,1,0,0,2,0,0,6,7,0,1,1,2,5,0
1,51,0,1,0,1,7,1,0,0,7,1,6,1,2,5,2
0,30,0,1,0,0,5,0,0,5,5,0,4,1,1,2,2
1,32,0,1,0,0,3,0,0,4,7,0,4,1,1,4,2
1,60,1,0,0,0,6,0,0,0,2,1,6,1,1,4,3
0,46,0,1,0,0,1,1,0,5,4,0,3,1,1,4,2
0,58,1,0,0,1,5,1,0,0,0,0,6,0,0,5,3
1,53,0,1,0,0,6,0,0,3,6,1,6,1,2,5,1
0,60,0,0,1,0,6,1,0,3,6,1,6,1,2,5,1
1,30,0,1,0,1,8,0,0,2,6,0,6,1,1,4,5
1,39,0,0,1,1,2,0,1,1,7,0,7,1,4,4,0
0,49,0,1,0,1,7,1,0,5,8,1,5,1,1,3,2
0,29,1,0,0,0,6,0,0,5,7,1,5,1,0,5,0
1,30,0,1,0,0,6,1,2,2,3,1,5,1,1,3,3
1,62,0,1,0,1,7,0,0,6,5,0,4,1,1,4,5
1,53,1,0,0,0,5,0,0,3,6,1,6,1,1,5,2
1,79,0,1,0,1,7,1,0,2,3,0,2,1,1,2,4
0,24,0,1,0,1,6,0,0,0,4,0,2,1,1,5,1
1,86,1,0,0,0,10,1,0,5,2,1,6,1,1,5,2
1,53,0,1,0,0,8,1,0,0,1,0,4,1,1,4,3
1,72,0,1,0,0,5,0,0,2,5,0,6,1,1,2,3
0,58,0,1,0,1,7,1,0,5,8,0,2,1,1,3,2
0,32,1,0,0,0,5,1,0,5,5,0,2,1,1,2,0
1,71,0,1,0,1,8,0,0,2,7,0,4,1,2,4,0
0,32,0,1,0,0,8,1,2,1,6,0,4,1,1,4,4
0,49,0,1,0,1,5,0,0,9,9,0,4,1,1,2,1
0,33,0,1,0,1,4,0,1,3,7,0,4,1,1,2,1
0,31,0,1,0,1,6,0,0,7,8,1,6,1,1,5,0
1,65,0,0,1,0,6,1,0,3,4,0,7,1,2,5,2
0,25,0,1,0,0,1,0,0,5,2,0,4,1,1,3,0
1,27,0,0,1,0,6,1,0,0,4,0,3,1,4,3,5
0,24,1,0,0,0,5,0,0,5,6,1,7,1,1,2,0
0,56,1,0,0,1,6,0,0,5,5,0,4,1,1,4,0
0,49,1,0,0,0,5,0,0,4,4,0,4,1,1,3,0
1,66,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,60,1,0,0,1,6,0,0,3,9,1,5,1,2,5,1
1,69,1,0,0,0,6,0,0,0,9,1,7,1,1,4,2
1,46,0,1,0,1,4,0,2,4,6,0,3,1,2,4,1
0,27,0,0,1,1,2,0,0,6,5,1,3,1,2,3,4
1,57,0,1,0,0,6,0,0,2,5,1,6,1,1,4,0
1,64,0,1,0,1,5,0,0,0,5,1,6,1,2,5,3
0,37,0,1,0,0,6,0,0,2,6,1,6,1,2,4,1
1,77,0,1,0,1,5,0,0,0,9,0,6,1,1,4,2
0,18,1,0,0,0,3,0,1,6,4,1,4,1,1,6,0
0,27,0,1,0,0,2,0,0,0,0,1,3,1,1,3,0
1,54,0,1,0,1,5,0,0,9,10,0,4,1,2,3,3
1,74,0,0,1,1,7,0,0,7,3,0,1,1,3,4,4
1,51,0,1,0,0,6,0,1,5,5,1,5,1,3,4,3
0,21,1,0,0,0,1,0,1,7,6,0,4,1,3,3,0
1,75,0,1,0,0,8,0,0,0,1,0,4,1,2,2,1
0,85,1,0,0,0,7,0,0,0,0,0,2,1,1,6,0
0,30,0,0,0,1,2,0,0,4,7,0,6,1,2,4,0
0,31,0,1,0,0,2,1,2,2,2,1,6,1,1,4,4
1,41,0,1,0,1,1,0,4,0,9,0,4,1,2,5,1
1,32,0,0,1,0,4,1,1,2,4,1,5,1,2,4,1
1,46,0,1,0,0,5,0,0,0,0,0,4,1,1,2,4
1,57,0,0,1,1,10,1,0,0,6,1,6,1,0,4,2
1,72,0,1,0,0,7,0,0,0,8,1,7,0,0,4,0
1,37,0,1,0,0,6,1,1,7,5,1,7,1,2,4,2
1,39,1,0,0,0,7,0,0,0,2,0,6,1,2,5,1
1,73,0,1,0,1,6,0,0,1,7,1,7,1,2,4,4
1,55,0,1,0,1,8,0,0,5,5,0,2,1,1,5,1
1,54,1,0,0,0,4,0,0,7,6,0,4,1,2,6,0
0,20,1,0,0,1,2,0,1,10,6,0,6,0,1,4,0
1,32,0,0,1,0,10,1,0,7,8,0,2,1,1,6,2
0,43,0,1,0,0,5,0,2,5,5,1,3,1,1,3,0
0,34,0,1,0,1,2,0,0,6,4,0,4,1,1,5,0
1,68,1,0,0,0,8,0,0,0,5,1,6,1,1,2,1
0,70,0,1,0,0,5,1,0,3,4,0,3,1,1,3,1
1,80,0,0,1,1,7,1,0,5,7,0,2,1,2,5,3
1,41,1,0,0,0,3,0,1,0,0,0,4,1,2,1,1
0,18,1,0,0,1,5,0,0,2,2,0,4,1,1,4,0
1,57,0,1,0,1,6,0,0,3,4,1,6,1,1,5,2
0,55,0,1,0,1,3,0,0,5,2,0,1,1,1,3,2
1,56,1,0,0,1,3,0,0,4,10,1,4,1,1,4,0
0,55,0,1,0,0,5,1,0,5,5,0,4,1,1,5,1
1,61,0,1,0,1,3,0,0,3,4,1,5,1,1,4,0
0,23,0,0,0,1,4,0,0,4,4,0,4,1,1,2,4
1,64,0,1,0,1,10,1,0,1,2,0,3,1,1,5,2
0,46,1,0,0,1,6,0,0,0,1,1,7,1,1,6,1
1,74,0,1,0,1,1,0,0,0,8,1,7,1,1,4,1
1,62,1,0,0,1,5,1,0,4,4,1,4,1,1,2,1
1,69,1,0,0,1,9,1,0,2,3,1,5,1,1,6,3
0,22,1,0,0,1,3,1,0,6,6,0,3,1,1,3,3
1,49,1,0,0,1,7,1,0,4,5,0,5,1,1,4,1
0,65,0,1,0,1,8,0,0,0,0,1,6,1,1,3,0
1,54,0,1,0,1,7,0,0,3,5,1,7,1,1,1,4
0,33,1,0,0,1,5,0,0,0,6,1,6,1,2,5,2
1,53,0,1,0,1,5,0,1,3,6,1,7,1,2,2,4
1,70,0,1,0,1,4,1,0,4,5,1,7,1,1,4,1
1,45,0,1,0,1,2,0,1,1,4,1,6,1,2,4,4
1,53,0,1,0,1,6,0,1,2,6,0,2,1,1,5,1
0,59,1,0,0,1,4,0,0,4,0,0,1,1,1,5,0
0,55,0,1,0,1,5,0,0,1,3,1,6,1,1,4,2
0,22,1,0,0,1,5,0,0,9,8,1,4,1,1,4,0
1,52,0,1,0,1,7,1,0,8,8,0,5,1,3,3,1
0,19,1,0,0,1,10,0,0,2,5,0,4,1,1,4,1
1,53,0,1,0,1,1,0,1,0,10,0,5,1,1,3,2
0,69,0,0,1,1,5,0,0,10,6,0,3,1,2,5,0
1,51,0,1,0,1,6,0,0,2,5,1,7,1,3,4,1
1,65,0,1,0,1,6,0,0,4,5,0,2,1,3,5,4
1,59,0,1,0,1,7,1,0,2,4,1,3,1,1,3,5
1,58,0,1,0,1,8,0,0,0,0,0,4,1,1,4,4
1,75,0,1,0,1,6,0,0,2,3,1,5,1,1,3,1
0,25,0,1,0,0,5,1,1,5,4,0,4,1,1,2,1
1,37,1,0,0,0,4,0,0,2,1,0,2,1,4,2,2
1,30,0,1,0,1,3,0,0,3,4,0,1,1,1,5,0
1,60,1,0,0,1,10,0,0,5,6,0,4,1,3,3,0
1,37,0,1,0,1,7,0,2,3,6,1,7,1,3,4,0
1,45,0,1,0,1,5,0,0,5,5,0,2,1,1,4,0
0,30,0,1,0,0,6,0,0,4,3,0,1,1,2,3,0
1,53,0,1,0,0,2,1,1,0,1,0,3,1,1,3,3
1,53,0,1,0,1,5,0,0,2,5,1,5,1,1,2,0
1,38,0,1,0,1,9,1,0,0,0,1,6,1,2,4,1
0,36,1,0,0,1,3,0,0,3,5,0,4,1,1,4,4
0,58,0,1,0,0,2,1,4,5,4,0,4,1,1,4,3
1,64,0,0,1,1,2,0,0,0,5,1,7,1,3,4,0
1,73,0,1,0,0,2,0,0,0,7,0,4,1,1,3,1
0,50,0,1,0,0,5,0,0,0,5,1,4,1,2,4,1
1,35,0,1,0,1,7,0,0,6,8,0,1,1,2,5,0
1,40,0,0,1,1,7,0,0,1,4,1,6,1,4,4,3
1,35,1,0,0,0,5,0,3,0,2,0,3,1,2,4,4
0,45,0,1,0,0,3,0,1,3,5,0,2,1,1,2,0
0,65,0,1,0,0,3,0,0,6,6,0,4,1,1,5,1
1,60,0,0,1,1,8,0,0,0,0,0,1,1,1,4,1
0,52,0,1,0,0,7,1,0,2,0,0,4,0,1,4,2
0,50,0,1,0,1,7,0,0,2,4,0,4,1,1,3,2
0,21,1,0,0,1,5,0,2,4,5,0,4,0,1,6,2
1,22,0,1,0,1,7,1,0,6,5,1,5,1,1,2,1
1,39,0,1,0,0,6,0,0,10,1,0,1,1,3,3,2
1,81,0,1,0,1,0,0,0,0,5,1,6,1,0,2,3
1,64,0,0,1,1,8,1,0,0,3,0,7,1,3,4,5
1,25,0,1,0,0,5,1,2,2,6,0,6,1,1,5,5
0,77,0,1,0,1,6,0,0,0,7,0,5,1,1,5,0
1,41,0,0,1,0,6,1,1,4,5,0,3,1,3,4,2
0,44,0,1,0,1,0,0,0,4,5,0,7,1,1,3,4
0,23,0,1,0,1,6,0,0,3,8,0,3,0,1,4,0
0,33,0,0,1,1,6,0,0,0,2,0,2,1,1,6,2
1,70,1,0,0,1,10,1,0,1,7,0,4,1,1,5,0
1,58,0,1,0,1,3,0,0,0,7,0,6,1,1,2,3
1,67,0,1,0,1,8,0,0,7,8,0,2,1,2,3,2
1,62,0,1,0,1,5,0,0,1,6,0,4,1,2,3,4
0,35,1,0,0,0,2,0,3,3,3,0,4,0,1,3,2
1,51,0,1,0,0,8,1,3,3,3,0,6,1,2,4,3
1,41,0,1,0,0,5,0,4,5,6,0,2,1,2,3,2
1,66,1,0,0,1,5,0,2,0,6,1,5,1,1,2,4
1,31,1,0,0,0,5,0,1,5,5,0,4,1,1,4,0
0,33,1,0,0,0,5,0,0,1,8,0,4,1,3,3,2
1,59,0,1,0,0,4,1,0,1,4,1,5,1,3,4,1
0,35,0,1,0,1,7,1,1,1,5,1,7,1,1,3,1
0,44,1,0,0,0,7,0,1,6,8,0,4,1,1,2,1
1,43,1,0,0,1,7,1,0,8,8,1,6,1,2,3,0
0,21,1,0,0,1,6,0,1,0,3,1,6,1,1,3,3
0,27,0,1,0,1,3,0,0,1,5,0,4,1,1,6,3
0,61,0,0,1,0,6,0,1,6,7,0,3,1,1,5,0
0,70,0,0,1,1,3,0,0,5,5,0,3,1,3,4,3
0,34,1,0,0,1,6,1,3,4,2,0,1,1,1,3,1
1,60,0,1,0,0,2,0,0,2,2,1,4,1,1,3,1
1,62,0,1,0,0,8,0,0,2,2,0,4,1,4,4,4
0,37,0,1,0,1,1,0,0,5,5,0,4,1,1,1,3
1,47,0,1,0,1,3,0,0,7,4,0,3,1,0,4,2
1,34,0,1,0,0,3,0,0,0,5,0,4,1,1,4,2
0,38,0,1,0,0,7,0,3,6,4,0,4,1,1,2,0
1,59,0,1,0,1,5,0,0,1,7,1,7,1,2,3,0
1,57,0,1,0,1,5,0,0,4,4,0,4,1,1,3,3
0,68,0,0,1,1,6,1,0,8,8,0,2,1,2,3,1
0,43,0,1,0,0,10,1,1,0,0,0,5,1,1,2,2
1,50,0,1,0,0,6,0,0,6,5,0,4,1,2,6,1
0,32,0,0,1,1,3,0,0,4,5,0,2,1,2,5,4
0,72,0,1,0,0,7,1,0,0,6,0,5,1,2,6,1
1,74,0,1,0,0,6,0,0,1,7,1,6,1,1,3,1
0,46,0,1,0,1,5,0,0,5,5,0,4,0,2,3,0
0,55,0,1,0,1,5,0,0,4,7,1,5,1,1,3,1
1,70,0,1,0,0,7,1,0,0,4,1,4,1,2,2,5
1,64,0,1,0,1,5,0,0,5,6,0,5,1,2,4,2
1,62,0,1,0,1,5,1,0,2,4,0,5,1,2,3,1
0,19,1,0,0,0,5,1,1,5,2,1,5,1,2,4,5
1,46,0,1,0,1,6,0,0,2,5,0,6,0,2,4,2
1,38,1,0,0,0,6,1,0,1,9,0,6,1,1,4,0
1,57,1,0,0,1,4,0,0,0,7,0,5,1,2,4,4
1,33,0,1,0,1,1,0,0,4,7,0,3,1,2,4,0
0,26,0,0,1,0,7,0,0,3,5,1,7,1,1,3,1
1,59,0,1,0,1,5,1,2,1,2,0,4,1,2,5,3
1,77,1,0,0,0,3,0,0,5,5,0,4,1,1,5,1
1,34,0,0,1,1,3,0,0,4,7,0,2,1,2,4,0
1,47,0,0,1,1,5,1,2,4,8,0,4,0,3,4,5
1,48,0,1,0,0,6,1,1,3,7,1,6,1,1,4,1
1,68,1,0,0,0,7,1,0,3,2,1,6,1,1,4,0
1,37,0,1,0,1,8,1,4,3,8,0,5,1,1,4,5
1,71,1,0,0,1,3,0,0,1,5,0,4,1,1,4,0
1,45,0,0,1,1,5,1,1,4,5,0,3,0,2,2,2
1,74,0,0,1,1,2,0,0,2,6,0,2,1,3,3,3
